format,scheduled_date,primary_keyword,drafted_at,title,error,pillar,persona,notes,dale_chall,secondary_keywords,draft_folder,status,published_at
educational,2031-10-06,APR vs interest rate,,APR vs. Interest Rate: The Number Your Bank Hopes You Don't Compare,,Pillar 2: Demystifying Finance,All,"Explains exactly why APR is always higher than the stated interest rate — it folds in origination fees, processing charges, and other costs that the headline rate buries — and shows readers a side-by-side calculation using two realistic loan offers so the gap is impossible to miss. Anchor hook: a 9.9% interest rate can quietly become a 14.2% APR once fees are included, costing hundreds of dollars the borrower never agreed to in plain language. IvyEdge POV: APR is the only number that tells the whole truth — and lenders who lead with the interest rate are counting on you not to do the math.",,what is APR on a loan|how to compare loan offers|annual percentage rate explained|true cost of a personal loan,,queued,
,2031-10-13,,,🐯 📸 Photo 1: Babs (Barbie) — APR vs. Interest Rate: The Number Your Bank Hopes ,,Pillar 2: Demystifying Finance,,Cat content for: APR vs. Interest Rate: The Number Your Bank Hopes You Don't ,,,,cat_content,
,2031-10-20,,,🐯 📹 Video 1: Babs (Barbie) — APR vs. Interest Rate: The Number Your Bank Hopes ,,Pillar 2: Demystifying Finance,,Cat content for: APR vs. Interest Rate: The Number Your Bank Hopes You Don't ,,,,cat_content,
,2031-10-27,,,🐯 📹 Video 2: Babs (Barbie) — APR vs. Interest Rate: The Number Your Bank Hopes ,,Pillar 2: Demystifying Finance,,Cat content for: APR vs. Interest Rate: The Number Your Bank Hopes You Don't ,,,,cat_content,
,2031-11-03,,,🐯 📸 Photo 2: Babs (Barbie) — APR vs. Interest Rate: The Number Your Bank Hopes ,,Pillar 2: Demystifying Finance,,Cat content for: APR vs. Interest Rate: The Number Your Bank Hopes You Don't ,,,,cat_content,
,2031-11-10,,,🐯 📹 Video 3: Babs (Barbie) — APR vs. Interest Rate: The Number Your Bank Hopes ,,Pillar 2: Demystifying Finance,,Cat content for: APR vs. Interest Rate: The Number Your Bank Hopes You Don't ,,,,cat_content,
behavioral,2031-11-17,lifestyle creep after a raise,,The Promotion She Earned Didn't Come With a Raise. The Debt Did.,,Pillar 4: Behavioral Science Insights,Dominique,"Uses hedonic adaptation and mental accounting research to explain why income increases so reliably produce spending increases — and why the effect is sharper for women who reached high earnings later or after periods of financial scarcity. The post teaches readers to recognize the 'I've earned this' spending trigger as a cognitive pattern, not a character flaw, and gives two concrete commitment devices to decouple raises from lifestyle inflation. Anchor stat: 62% of six-figure earners report living paycheck to paycheck (PYMNTS/LendingClub 2023). IvyEdge POV: doing everything right financially still leaves you vulnerable if the system charges you more for credit and pays you less to start — behavioral tools matter most when the margin is already thin.",,hedonic adaptation personal finance|mental accounting women salary|high earner still in debt|behavioral finance salary increase spending,,queued,
,2031-11-24,,,🐯 📸 Photo 1: Babs (Barbie) — The Promotion She Earned Didn't Come With a Raise.,,Pillar 4: Behavioral Science Insights,,Cat content for: The Promotion She Earned Didn't Come With a Raise. The Debt ,,,,cat_content,
,2031-12-01,,,🐯 📹 Video 1: Babs (Barbie) — The Promotion She Earned Didn't Come With a Raise.,,Pillar 4: Behavioral Science Insights,,Cat content for: The Promotion She Earned Didn't Come With a Raise. The Debt ,,,,cat_content,
,2031-12-08,,,🐯 📹 Video 2: Babs (Barbie) — The Promotion She Earned Didn't Come With a Raise.,,Pillar 4: Behavioral Science Insights,,Cat content for: The Promotion She Earned Didn't Come With a Raise. The Debt ,,,,cat_content,
,2031-12-15,,,🐯 📸 Photo 2: Babs (Barbie) — The Promotion She Earned Didn't Come With a Raise.,,Pillar 4: Behavioral Science Insights,,Cat content for: The Promotion She Earned Didn't Come With a Raise. The Debt ,,,,cat_content,
,2031-12-22,,,🐯 📹 Video 3: Babs (Barbie) — The Promotion She Earned Didn't Come With a Raise.,,Pillar 4: Behavioral Science Insights,,Cat content for: The Promotion She Earned Didn't Come With a Raise. The Debt ,,,,cat_content,
industry,2031-12-29,four day work week women,,The Monday Off Policy That's Keeping Women in the Workforce,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,All,"Examines the evidence from the world's largest four-day work week trial — 90% of participating companies kept it permanently — and connects the policy directly to female workforce retention, showing that caregiving responsibilities disproportionately fall on women and that a compressed schedule is one of the few structural interventions that measurably reduces that friction. Anchor stat: 455,000 women left the workforce in 2025, with 42% citing caregiving as the reason (Catalyst/BLS 2026). IvyEdge POV: a Monday off is not a lifestyle perk — it is a structural decision that signals whether a company is actually designed to keep women, or just willing to hire them.",,four day work week caregiving|RTO mandate women leaving jobs|flexible schedule female retention|remote work gender gap data,,queued,
,2032-01-05,,,🐯 📸 Photo 1: Babs (Barbie) — The Monday Off Policy That's Keeping Women in the ,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: The Monday Off Policy That's Keeping Women in the Workforce,,,,cat_content,
,2032-01-12,,,🐯 📹 Video 1: Babs (Barbie) — The Monday Off Policy That's Keeping Women in the ,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: The Monday Off Policy That's Keeping Women in the Workforce,,,,cat_content,
,2032-01-19,,,🐯 📹 Video 2: Babs (Barbie) — The Monday Off Policy That's Keeping Women in the ,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: The Monday Off Policy That's Keeping Women in the Workforce,,,,cat_content,
,2032-01-26,,,🐯 📸 Photo 2: Babs (Barbie) — The Monday Off Policy That's Keeping Women in the ,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: The Monday Off Policy That's Keeping Women in the Workforce,,,,cat_content,
,2032-02-02,,,🐯 📹 Video 3: Babs (Barbie) — The Monday Off Policy That's Keeping Women in the ,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: The Monday Off Policy That's Keeping Women in the Workforce,,,,cat_content,
educational,2032-02-09,how career gaps affect credit score,,Why Your Career Break Is Making Your Credit Score Drop — And Why That's Backwards,,Pillar 1: Financial Education for Non-Traditional Paths,Priya,"Walk through exactly which FICO factors penalize a career gap — utilization spikes when income stops, account age stalls, new credit inquiries look risky — and show why none of those signals reflect actual repayment risk. Anchor with: women who take caregiving breaks default less than the general borrower population. The system is measuring absence, not character.",,credit score drop after career break|credit utilization during unemployment|rebuilding credit after caregiving gap|loan approval after employment gap,,queued,
industry,2032-02-16,four day work week women,,The Four-Day Work Week Isn't a Perk. It's a Retention Strategy for Women.,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,All,"Use the Scientific American 2025 finding that 90% of companies in the world's largest four-day week trial kept it permanently, and connect it directly to the 455,000 women who left the workforce in 2025 — 42% citing caregiving. The argument: a compressed schedule isn't generosity, it's the structural fix that makes caregiving and career coexist. Challenge the framing that flexibility is a reward; reframe it as the baseline for keeping women employed.",,four day work week productivity data|gender gap remote work|flexible work schedule retention|women leaving workforce caregiving,,queued,
educational,2032-02-23,debt to income ratio explained,,What a Debt-to-Income Ratio Actually Measures — And What It Gets Wrong,,Pillar 2: Demystifying Finance,Carmen,"Break down the DTI formula step by step, then expose the specific way it fails business owners: business debt obligations often bleed into personal DTI calculations, making a profitable entrepreneur look over-leveraged on paper. Use Carmen's scenario — four profitable years, strong personal credit, thin business credit file — as the composite example. The Ivy Edge POV: DTI was designed for salaried earners. When you run a business, it tells an incomplete story, and lenders rarely look past the number.",,how lenders calculate DTI|DTI ratio self-employed|business debt personal loan approval|debt to income ratio too high,,queued,
behavioral,2032-03-01,why people avoid checking credit score,,The Psychology Behind Why You Avoid Checking Your Credit Score (And Why Checking It Actually Helps),,Pillar 4: Behavioral Science Insights,Dominique,"Ground this in the 'ostrich effect' — the documented behavioral tendency to avoid information we expect to be negative, even when knowing it would help us act. Research shows people check financial accounts less frequently during periods of perceived financial stress, compounding the problem. The counter-argument: visibility drives progress. Studies on goal monitoring show that people who track a measurable target consistently outperform those who don't. Frame credit monitoring not as a report card but as a feedback loop — and show Dominique, who is already doing everything right, exactly what she gains by watching the numbers move.",,financial avoidance behavior|credit score anxiety|ostrich effect personal finance|progress monitoring credit building,,queued,
educational,2032-03-08,how career gaps affect credit score,,Why Your Career Gap Is Hurting Your Credit Score — And Why That's Backwards,,Pillar 1: Financial Education for Non-Traditional Paths,Priya,"Walks through exactly which FICO factors punish a career pause — utilization creep, account age, inquiry patterns — even when the borrower never missed a payment. Ivy Edge POV: the model is measuring absence of income, not presence of risk. Anchor with the stat that women who take caregiving breaks default less than the general borrower population.",,credit score drop during career break|credit utilization after job loss|rebuilding credit after caregiving gap|loan approval after career gap,,queued,
educational,2032-03-15,what is APR on a personal loan,,The Hidden Math Behind Your Loan Offer: What APR Actually Costs You Over Time,,Pillar 2: Demystifying Finance,All,"Most borrowers compare monthly payments, not total cost — which is exactly what lenders count on. This post shows the dollar difference between an 11% and a 19% APR on a $10,000 loan over 36 months, making the math visible and personal. Ivy Edge POV: understanding APR is the first move in negotiating from a position of knowledge, not desperation.",,APR vs interest rate difference|how lenders calculate loan cost|true cost of a personal loan|annual percentage rate explained,,queued,
behavioral,2032-03-22,why do I make bad money decisions,,Present Bias Is Why You Keep Choosing the Wrong Loan — Here's How to Outsmart It,,Pillar 4: Behavioral Science Insights,Dominique,Present bias — the tendency to overweight immediate relief against future cost — explains why a 24% APR offer feels acceptable when the alternative is a delayed closing or a missed opportunity. Dominique has the income and the score to do better; she just needs a framework that reframes the decision window. Anchor with research showing that naming a future cost in concrete dollars (not percentages) reduces present-bias-driven choices by up to 40%.,,psychology of borrowing decisions|why people choose high interest loans|behavioral economics personal finance|how to make better money decisions,,queued,
industry,2032-03-29,return to office women leaving jobs,,The Real Reason RTO Mandates Keep Losing Women — And What the Data Actually Shows,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,All,"Two in three C-suite leaders report that RTO mandates caused disproportionate female exits (Upwork 2024) — yet most companies frame RTO as a culture or productivity issue, not a gender one. This post makes the structural argument: when you remove location flexibility, you remove the accommodation that made caregiving-while-working possible for millions of women. Ivy Edge POV: remote-first isn't a perk, it's a retention architecture — and the companies that treat it as optional are quietly self-selecting out their female talent.",,return to office gender gap|remote work women workforce participation|flexible work policies retention|women executives leaving after RTO,,queued,
educational,2032-04-05,how career gaps affect credit score,,What Happens to Your Credit Score When You Take Time Off to Caregiving,,Pillar 1: Financial Education for Non-Traditional Paths,Priya,"Walk through exactly which FICO factors get dinged during a caregiving gap — utilization spikes when income drops, average account age stalls, credit mix narrows — and show Priya step-by-step what she can do during and after the gap to limit the damage. Anchor with the statistic that 455,000 women left the workforce in 2025 and 42% cited caregiving (Catalyst/BLS 2026): the system is penalizing millions of women for doing something necessary. Ivy Edge's point of view: the gap isn't the risk — the metric that treats it as one is.",,credit score drop during career break|caregiving and credit score|rebuilding credit after career gap|credit utilization during unemployment,,queued,
educational,2032-04-12,debt-to-income ratio explained,,Debt-to-Income Ratio Explained — And Why It Quietly Punishes Part-Time Workers,,Pillar 2: Demystifying Finance,All,"Demystify exactly how lenders calculate DTI (gross monthly income vs. recurring monthly debt), then expose the flaw: part-time income is taken at face value while overtime and 1099 deposits are often averaged down or discounted entirely, pushing the same debt load into a higher risk bracket. Include a concrete side-by-side example — same debt, same repayment history, W-2 vs. part-time income — showing how DTI differs under standard underwriting. Ivy Edge's point of view: DTI is a useful signal measured with a broken ruler when it comes to non-traditional income.",,DTI ratio for part-time workers|how lenders calculate debt-to-income|debt-to-income ratio loan approval|part-time income loan application,,queued,
behavioral,2032-04-19,sunk cost fallacy personal finance,,Why the Sunk Cost Fallacy Keeps Women in the Wrong Bank — And How to Walk Away,,Pillar 4: Behavioral Science Insights,Dominique,"Dominique has been with the same bank since college — direct deposit set up, autopay linked, the app feels familiar — and her bank is still offering her 19% personal loans and 0.01% savings. This post names the sunk cost fallacy explicitly, then quantifies what staying actually costs (interest differential on a $15K loan at 19% vs. 11% over 3 years is roughly $2,000). Walk through the real switching effort (it's about 90 minutes, not the mythologized weekend project) and reframe inertia as a financial decision with a price tag. Ivy Edge's point of view: loyalty without reciprocity isn't loyalty — it's inertia with a cost.",,switching banks psychology|why people stay with bad banks|behavioral economics banking|cost of staying with the wrong bank,,queued,
industry,2032-04-26,RTO mandate women leaving jobs,,The Return-to-Office Mandate Data No One Is Talking About,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,All,"Lead with the Upwork 2024 finding that 2 in 3 C-suite leaders say RTO mandates caused disproportionate female exits, then layer in the caregiving context: school pickup windows, eldercare appointments, and the structural reality that women still carry the majority of unpaid domestic labor. The post should name RTO mandates as a workforce policy with a documented gender outcome — not a scheduling preference — and look at what the companies holding the line on flexibility are seeing in retention data. Ivy Edge's point of view: remote-first isn't a perk; it's a retention strategy with a measurable gender dividend.",,remote work gender gap|return to office disproportionate impact women|RTO policy female workforce participation|flexible work and women retention,,queued,
educational,2032-05-03,how career gaps affect credit score,,What Happens to Your Credit Score During a Career Gap (And Why the Model Is Broken),,Pillar 1: Financial Education for Non-Traditional Paths,Priya,"Walk through the exact FICO mechanics that punish career gaps — utilization spikes, account age, inquiry patterns — even when no payment is ever missed. Anchor on this: women take 80% of caregiving-related career breaks (BLS), yet the credit model was never designed with that reality in mind. Ivy Edge POV: the gap isn't the risk. The model measuring it is.",,credit score drop during career break|career gap loan application|credit utilization during unemployment|rebuilding credit after caregiving,,queued,
industry,2032-05-10,4 day work week women workforce participation,,"The 4-Day Work Week Isn't a Perk. For Women, It's a Retention Strategy.",,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,All,"Lead with the finding that 90% of companies in the world's largest 4-day week trial kept it permanently (Scientific American 2025), then connect it directly to women's workforce participation — caregiving load, mental health, attrition. The angle: companies frame the 4-day week as a culture benefit, but the data shows it functions as structural gender equity. Ivy Edge POV: we run a 32-hour week with Mondays off because it's the right operating model, not the generous one.",,four day work week productivity data|gender gap remote work|flexible schedule caregiving|women leaving workforce statistics,,queued,
educational,2032-05-17,APR vs interest rate difference,,APR vs. Interest Rate: The Number Your Lender Hopes You Don't Compare,,Pillar 2: Demystifying Finance,Dominique,"Most borrowers compare interest rates, not APR — and lenders know it. This post breaks down exactly what APR captures (fees, origination costs, compounding structure) that the headline rate doesn't, using concrete dollar examples. Target Dominique: she's financially literate, earns $95K, and is being offered 19% personal loans — she deserves to know what that number actually means and how to compare offers accurately. Ivy Edge POV: transparency isn't optional. The number you see should be the number you pay.",,what is APR on a personal loan|how lenders calculate APR|true cost of borrowing|personal loan rate comparison,,queued,
behavioral,2032-05-24,present bias financial decisions,,Why You Keep Putting Off the Financial Decision You Already Know You Should Make,,Pillar 4: Behavioral Science Insights,All,"Present bias — the tendency to overweight immediate comfort against future benefit — is one of the most well-documented findings in behavioral economics, and it hits hardest when the decision involves money and stress. This post names the mechanism, shows how it plays out across all four personas (Priya delaying the loan application, Maya avoiding the quarterly tax estimate, Carmen postponing the second-location decision), and gives three concrete friction-reduction strategies drawn from commitment device research. Ivy Edge POV: this isn't a willpower problem. It's a design problem — and the right tools remove the friction instead of lecturing you about it.",,why people avoid money decisions|behavioral economics personal finance|procrastination and debt|hyperbolic discounting explained,,queued,
educational,2032-05-31,how career gaps affect credit score,,"Why Your Career Gap Is Hurting Your Credit Score (And Why That's the System's Problem, Not Yours)",,Pillar 1: Financial Education for Non-Traditional Paths,Priya,"Walks through the exact FICO mechanics — utilization, account age, payment history — that punish women who step back for caregiving, even when they've never missed a payment. Anchor stat: women take 44% of all career breaks longer than 6 months in the US (McKinsey), yet the credit model treats the gap identically to financial distress. Ivy Edge POV: the score is measuring the wrong thing.",,credit score drop during career break|credit utilization after job loss|rebuilding credit after caregiving gap|loan with employment gap,,queued,
educational,2032-06-07,APR vs interest rate difference,,APR vs. Interest Rate: The One Number Your Bank Hopes You Don't Compare,,Pillar 2: Demystifying Finance,Dominique,"Breaks down exactly why APR is always higher than the stated interest rate — fees, origination costs, and compounding — and shows the real dollar difference on a $10,000 loan at 18% APR vs. 18% interest. Ivy Edge POV: banks advertise the interest rate because APR is the number that shows what you actually pay. Knowing the difference is the first move a smart borrower makes.",,what is APR on a personal loan|how APR is calculated|true cost of a loan|annual percentage rate explained,,queued,
behavioral,2032-06-14,sunk cost fallacy personal finance,,The Sunk Cost Trap: Why Women Stay in Bad Financial Products Longer Than They Should,,Pillar 4: Behavioral Science Insights,All,Applies sunk cost and loss aversion research to the specific moment women recognize their bank isn't working for them but don't leave — citing Kahneman's loss aversion coefficient (losses feel ~2x as painful as equivalent gains feel good) and the average American's 16-year bank tenure despite dissatisfaction. Ivy Edge POV: the switching cost is almost always lower than the cost of staying. Here's how to calculate both.,,behavioral economics money decisions|why we stay with bad banks|switching banks psychology|loss aversion financial products,,queued,
industry,2032-06-21,4 day work week women workforce participation,,Mondays Off Isn't a Perk — It's a Retention Strategy. Here's What the Data Shows.,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,All,"Uses the Microsoft/Henley Business School trial data and the Scientific American 2025 finding that 90% of companies kept the 4-day week permanently to make the case that Monday off isn't generosity — it's the single structural change most correlated with keeping women (especially caregivers) in the workforce. Anchor the piece with the stat that 455,000 women left the workforce in 2025 and 42% cited caregiving as the reason (Catalyst/BLS 2026).",,four day work week productivity data|gender gap remote work policy|caregiving and workforce participation women|RTO mandate women leaving jobs,,queued,
educational,2032-06-28,how career gaps affect credit score,,What Happens to Your Credit Score When You Take a Career Break (And Why It Shouldn't),,Pillar 1: Financial Education for Non-Traditional Paths,Priya,"Walk through exactly which credit score factors deteriorate during a caregiving gap — utilization spikes, account age stagnation, reduced credit mix — and why those signals are measuring the wrong thing. Anchor with the stat that women who default less and repay at higher rates are still penalized by models built on male financial patterns. Ivy Edge POV: the score is describing a system failure, not a personal one.",,credit score drop during career break|credit utilization after job loss|rebuilding credit after caregiving gap|loan with career gap,,queued,
industry,2032-07-05,4 day work week women workforce,,Why the 4-Day Work Week Isn't a Perk — It's a Women's Workforce Issue,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,All,"Use the Scientific American data (90% of companies in the world's largest trial kept the 4-day week permanently) alongside the Catalyst/BLS figure that 455,000 women left the workforce in 2025, 42% citing caregiving, to make the case that schedule flexibility is not a wellness trend — it is a structural lever for keeping women employed. Frame Monday as a design decision, not a benefit.",,four day work week productivity data|gender gap remote work|caregiving and workforce participation|women leaving jobs caregiving,,queued,
educational,2032-07-12,how underwriting discriminates against women,,The Underwriting Model Was Built on Male Financial Patterns — Here's What That Actually Means,,Pillar 2: Demystifying Finance,All,"Demystify how traditional underwriting models were calibrated on historical loan data that skewed male — continuous employment, W-2 income, uninterrupted credit history — and show readers exactly which variables disadvantage career returners, freelancers, and part-time workers. Anchor with the stat that sole female mortgage applicants are 30% more likely to be denied than sole males. No Ivy Edge product mention — close with what readers can do now: document income patterns, request reconsideration with supporting materials, and know their ECOA rights.",,alternative credit scoring women|AI underwriting gender bias|sole female mortgage applicant denial rate|fair lending laws women,,queued,
behavioral,2032-07-19,why women stay with bad banks,,The Sunk Cost Trap: Why Sticking With a Bad Bank Feels Smarter Than It Is,,Pillar 4: Behavioral Science Insights,Dominique,"Apply sunk cost and status quo bias research to the specific moment Dominique is in: she knows her bank is offering 19% personal loans and 0.01% savings, but the friction of switching feels larger than the cost of staying. Use concrete math to make the invisible cost visible — what a 6-point APR difference costs over 36 months on a $15K loan — and pair it with behavioral science on why familiarity reads as safety even when the data says otherwise. Ivy Edge POV: inertia is a financial product banks profit from. Naming it is the first move.",,sunk cost fallacy personal finance|switching bank accounts psychology|bank loyalty cost women|high earner bank dissatisfaction,,queued,
